Scientific_Name,en_uk,fr,es,nl,no,ar,da,de,it,ja,ko,pl,pt,pt_br,ru,sv,th,tr,uk,zh
Psilopsiagon aurifrons,Mountain Parakeet,Toui à bandeau jaune,Catita Frentidorada,Citroenparkiet,gulmaskeparakitt,Mountain Parakeet,Mountain Parakeet,Zitronensittich,Mountain Parakeet,シトロンインコ,Mountain Parakeet,stokówka żółtoczelna,Mountain parakeet,Mountain Parakeet,Желтолобый калита,Bergparakit,Mountain Parakeet,Dağ Papağanı,Папуга гірський,山鹦哥
Psilopsiagon aymara,Grey-hooded Parakeet,Toui aymara,Catita Aimará,Aymaraparkiet,aymaraparakitt,Gray-hooded Parakeet,Gray-hooded Parakeet,Aymarasittich,Gray-hooded Parakeet,ユウギリインコ,Gray-hooded Parakeet,stokówka ciemnogłowa,Gray-hooded parakeet,Gray-Hooded Parakeet,Сероголовый калита,Sierraparakit,Gray-hooded Parakeet,Aymara Papağanı,Папуга буроголовий,灰顶鹦哥
Psilorhamphus guttatus,Spotted Bamboowren,Mérulaxe des bambous,Tapaculo Overo,Druppeltapaculo,stjernesmett,Spotted Bamboowren,Spotted Bamboowren,Zaunkönigtapaculo,Spotted Bamboowren,ホシオタテドリ,Spotted Bamboowren,kropiatek,Tapaculo-pintado,Tapaculo-Pintado,Крапивниковый тапакуло,Fläckig bambusmyg,Spotted Bamboowren,Benekli Bambu Tapakolası,Тапакуло бамбуковий,斑竹鹩
Psilorhinus morio,Brown Jay,Geai enfumé,Chara Papán,Bruine Gaai,brunskrike,Brown Jay,Brown Jay,Braunhäher,Brown Jay,チャイロカケス,Brown Jay,brązowronka,Brown Jay,Brown Jay,Бурая сойка,Brunskrika,Brown Jay,Kahverengi Karga,Пая бура,褐鸦
Psiloscops flammeolus,Flammulated Owl,Petit-duc nain,Autillo Flamulado,Ponderosadwergooruil,flammeugle,Flammulated Owl,Flammulated Owl,Ponderosaeule,Flammulated Owl,アメリカコノハズク,Flammulated Owl,sosnolub,Flammulated owl,Flammulated Owl,Сосновая совка,Ponderosauggla,Flammulated Owl,Amerika İshakkuşu,Сплюшка канадська,美洲角鸮
Psittacara erythrogenys,Red-masked Parakeet,Conure à tête rouge,Aratinga de Guayaquil,Ecuadoraratinga,rødmaskeparakitt,Red-masked Parakeet,Rødhovedet Aratinga,Guayaquilsittich,Red-masked Parakeet,オナガアカボウシインコ,Red-masked Parakeet,szmaragdolotka krasnolica,Red-masked parakeet,Red-Masked Parakeet,Красноголовая аратинга,Rödmaskparakit,Red-masked Parakeet,Guayaquil Papağanı,Аратинга червоноголовий,红头鹦哥
Psittacara finschi,Crimson-fronted Parakeet,Conure de Finsch,Aratinga de Finsch,Finsch' Aratinga,karminpanneparakitt,Crimson-fronted Parakeet,Crimson-fronted Parakeet,Veraguasittich,Crimson-fronted Parakeet,アカビタイメキシコインコ,Crimson-fronted Parakeet,szmaragdolotka czerwonoczelna,Crimson-fronted parakeet,Crimson-Fronted Parakeet,Краснолобая аратинга,Finschparakit,Crimson-fronted Parakeet,Finsch Papağanı,Аратинга червонолобий,绯额鹦哥
Psittacara holochlorus,Green Parakeet,Conure verte,Aratinga Verde,Groene Aratinga,grønnparakitt,Green Parakeet,Green Parakeet,Grünsittich,Green Parakeet,テリハメキシコインコ,Green Parakeet,szmaragdolotka meksykańska,Green parakeet,Green Parakeet,Мексиканская аратинга,Grön parakit/Socorroparakit/Rödhakad parakit,Green Parakeet,Meksika Yeşil Papağanı,Аратинга зелений,绿鹦哥
Psittacara leucophthalmus,White-eyed Parakeet,Conure pavouane,Aratinga Ojiblanca,Witoogaratinga,amazonparakitt,White-eyed Parakeet,White-eyed Parakeet,Pavuasittich,White-eyed Parakeet,メジロメキシコインコ,White-eyed Parakeet,szmaragdolotka białooka,Periquitão-maracanã,Periquitão,Белоглазая аратинга,Vitögd parakit,White-eyed Parakeet,Ak Gözlü Papağan,Аратинга венесуельський,白眼鹦哥
Psittacara mitratus,Mitred Parakeet,Conure mitrée,Aratinga Mitrada,Roodmaskeraratinga,rødflekkparakitt,Mitred Parakeet,Mitred Parakeet,Rotmaskensittich,Mitred Parakeet,ベニガオメキシコインコ,Mitred Parakeet,szmaragdolotka maskowa,Mitred parakeet,Mitred Parakeet,Краснолицая аратинга,Rödfläckig parakit,Mitred Parakeet,Alev Başlıklı Papağan,Аратинга червонощокий,红耳绿鹦哥
Psittacara strenuus,Pacific Parakeet,Conure de Ridgway,Aratinga del Pacífico,Pacifische Aratinga,smaragdparakitt,Pacific Parakeet,Pacific Parakeet,Mexikosittich,Pacific Parakeet,オオメキシコインコ,Pacific Parakeet,szmaragdolotka pacyficzna,Pacific parakeet,Pacific Parakeet,Зелёная аратинга,Stillahavsparakit,Pacific Parakeet,Pasifik Papağanı,Аратинга гватемальський,尼加拉瓜绿鹦哥
Psittacara wagleri,Scarlet-fronted Parakeet,Conure de Wagler,Aratinga de Wagler,Waglers Aratinga,rødpanneparakitt,Scarlet-fronted Parakeet,Scarlet-fronted Parakeet,Kolumbiensittich,Scarlet-fronted Parakeet,ミドリズアカインコ,Scarlet-fronted Parakeet,szmaragdolotka andyjska,Scarlet-fronted parakeet,Scarlet-Fronted Parakeet,Колумбийская аратинга,Rödkronad parakit,Scarlet-fronted Parakeet,Wagler Papağanı,Аратинга колумбійський,红额鹦哥
Psittacula alexandri,Red-breasted Parakeet,Perruche à moustaches,Cotorra Pechirroja,Alexanderparkiet,skjeggparakitt,Red-breasted Parakeet,Red-breasted Parakeet,Bartsittich,Red-breasted Parakeet,ダルマインコ,Red-breasted Parakeet,aleksandretta różana,Red-breasted parakeet,Red-Breasted Parakeet,Розовогрудый кольчатый попугай,Mustaschparakit,นกแขกเต้า,Gül Göğüslü Yeşil Papağan,Папужець рожевоволий,绯胸鹦鹉
Psittacula calthrapae,Layard's Parakeet,Perruche de Layard,Cotorra de Ceilán,Smaragdparkiet,grønnhalsparakitt,Layard's Parakeet,Layard's Parakeet,Blauschwanzsittich,Layard's Parakeet,セイロンミドリワカケインコ,Layard's Parakeet,aleksandretta zielonoszyja,Layard's parakeet,Layard's Parakeet,Изумрудный кольчатый попугай,Smaragdparakit,Layard's Parakeet,Seylan Yeşil Papağanı,Папужець зеленошиїй,艳绿领鹦鹉
Psittacula columboides,Malabar Parakeet,Perruche de Malabar,Cotorra de Malabar,Malabarparkiet,dueparakitt,Malabar Parakeet,Malabar Parakeet,Taubensittich,Malabar Parakeet,ミドリワカケインコ,Malabar Parakeet,aleksandretta seledynowa,Malabar parakeet,Malabar Parakeet,Малабарский кольчатый попугай,Ghatsparakit,Malabar Parakeet,Malabar Yeşil Papağanı,Папужець малабарський,马拉巴鹦鹉
Psittacula cyanocephala,Plum-headed Parakeet,Perruche à tête prune,Cotorra Cabeciazul,Pruimkopparkiet,plommehodeparakitt,Plum-headed Parakeet,Plum-headed Parakeet,Pflaumenkopfsittich,Plum-headed Parakeet,コセイインコ,Plum-headed Parakeet,aleksandretta śliwogłowa,Plum-headed parakeet,Plum-Headed Parakeet,Сливоголовый кольчатый попугай,Plommonhuvad parakit,Plum-headed Parakeet,Erik Başlı Yeşil Papağan,Папужець фіолетовоголовий,紫头鹦鹉
Psittacula eques,Echo Parakeet,Perruche de Maurice,Cotorra de Mauricio,Mauritiusparkiet,mauritiusparakitt,Echo Parakeet,Echo Parakeet,Mauritiussittich,Echo Parakeet,モーリシャスホンセイインコ,Echo Parakeet,aleksandretta krótkosterna,Echo parakeet,Echo Parakeet,Маврикийский попугай,Mauritiusparakit,Echo Parakeet,Morityus Yeşil Papağanı,Папужець острівний,毛里求斯鹦鹉
Psittacula eupatria,Alexandrine Parakeet,Perruche alexandre,Cotorra Alejandrina,Grote Alexanderparkiet,aleksanderparakitt,ببغاء الكساندرين,Stor Alexanderparakit,Alexandersittich,Alexandrine Parakeet,オオホンセイインコ,Alexandrine Parakeet,aleksandretta większa,Periquito-alexandrino,Periquito-Alexandrino,Александрийский попугай,Alexanderparakit,นกแก้วโม่ง,İskender Papağanı,Папужець індійський,亚历山大鹦鹉
Psittacula finschii,Grey-headed Parakeet,Perruche de Finsch,Cotorra de Finsch,Finsch' Parkiet,gråhodeparakitt,Gray-headed Parakeet,Gray-headed Parakeet,Finschsittich,Gray-headed Parakeet,ハイガシラホンセイインコ,Gray-headed Parakeet,aleksandretta szarogłowa,Gray-headed parakeet,Gray-Headed Parakeet,Сероголовый кольчатый попугай,Gråhuvad parakit,นกกะลิง,Finsch Yeşil Papağanı,Папужець сіроголовий,灰头鹦鹉
Psittacula himalayana,Slaty-headed Parakeet,Perruche de l'Himalaya,Cotorra del Himalaya,Grijskopparkiet,himalayaparakitt,Slaty-headed Parakeet,Slaty-headed Parakeet,Himalajasittich,Slaty-headed Parakeet,ズグロコセイインコ,Slaty-headed Parakeet,aleksandretta himalajska,Slaty-headed parakeet,Slaty-Headed Parakeet,Гималайский кольчатый попугай,Himalayaparakit,Slaty-headed Parakeet,Himalaya Yeşil Papağanı,Папужець гімалайський,青头鹦鹉
Psittacula krameri,Ring-necked Parakeet,Perruche à collier,Cotorra de Kramer,Halsbandparkiet,halsbåndparakitt,درة مطوقة,Alexanderparakit,Halsbandsittich,Parrocchetto dal collare,ホンセイインコ,Rose-ringed Parakeet,aleksandretta obrożna,Periquito-rabijunco,Periquito-Rabijunco,Попугай Крамера,Halsbandsparakit,นกแก้วคอแหวนสีกุหลาบ,Yeşil Papağan,Папуга Крамера,红领绿鹦鹉
Psittacula longicauda,Long-tailed Parakeet,Perruche à longs brins,Cotorra Colilarga,Langstaartparkiet,langhaleparakitt,Long-tailed Parakeet,Long-tailed Parakeet,Langschwanzsittich,Long-tailed Parakeet,オナガダルマインコ,Long-tailed Parakeet,aleksandretta długosterna,Long-tailed parakeet,Long-Tailed Parakeet,Нитехвостый кольчатый попугай,Långstjärtad parakit,Long-tailed Parakeet,Uzun Kuyruklu Yeşil Papağan,Папужець малазійський,长尾鹦鹉
Psittacus erithacus,Grey Parrot,Perroquet jaco,Loro Yaco,Grijze Roodstaartpapegaai,jako,Gray Parrot,Gray Parrot,Graupapagei,Gray Parrot,ヨウム,Gray Parrot,żako,Papagaio-cinzento,Papagaio-Cinzento,Краснохвостый жако,Grå/Västlig jako,Gray Parrot,Afrika Gri Papağanı,Папуга сірий,非洲灰鹦鹉
Psittinus cyanurus,Blue-rumped Parrot,Perruche à croupion bleu,Lorito Dorsiazul,Blauwrugpapegaai,blågumppapegøye,Blue-rumped Parrot,Blue-rumped Parrot,Rotachselpapagei,Blue-rumped Parrot,ルリゴシインコ,Blue-rumped Parrot,modrorzytka (czarnogrzbieta),Blue-rumped parrot,Blue-Rumped Parrot,Красноплечий попугай,Blåryggig papegoja,นกหกใหญ่,Mavi Belli Papağan,Папужець синьоголовий,蓝腰鹦鹉
Psittiparus gularis,Grey-headed Parrotbill,Paradoxornis à tête grise,Picoloro Cabecigrís,Grijskopdiksnavelmees,gråhettebuttnebb,Gray-headed Parrotbill,Gray-headed Parrotbill,Graukopf-Papageimeise,Gray-headed Parrotbill,ハイガシラダルマエナガ,Gray-headed Parrotbill,ogoniatka czarnobroda,Gray-headed Parrotbill,Gray-Headed Parrotbill,Сероголовая сутора,Gråhuvad papegojnäbb,นกปากนกแก้วหัวเทา,Gri Taçlı Papağangaga,Сутора чорноборода,Gray-headed Parrotbill
Psophia crepitans,Grey-winged Trumpeter,Agami trompette,Trompetero Aligrís,Trompetvogel,gråvingetrompetfugl,Gray-winged Trumpeter,Gray-winged Trumpeter,Grauflügel-Trompetervogel,Gray-winged Trumpeter,ラッパチョウ,Gray-winged Trumpeter,gruchacz siwoskrzydły,Jacamim-de-dorso-cinzento,Jacamim-Do-Napo/De-Costas-Amarelas/De-Costas-Cinzentas,Серокрылый трубач,Gråvingad trumpetare,Gray-winged Trumpeter,Boz Kanatlı Borazankuşu,Агамі сірокрилий,灰翅喇叭声鹤
Psophia leucoptera,Pale-winged Trumpeter,Agami à ailes blanches,Trompetero Aliblanco,Witvleugeltrompetvogel,hvitvingetrompetfugl,Pale-winged Trumpeter,Pale-winged Trumpeter,Weißflügel-Trompetervogel,Pale-winged Trumpeter,ハジロラッパチョウ,Pale-winged Trumpeter,gruchacz białoskrzydły,Jacamim-de-costas-brancas,Jacamim-De-Costas-Brancas,Белокрылый трубач,Vitvingad trumpetare,Pale-winged Trumpeter,Ak Kanatlı Borazankuşu,Агамі білокрилий,白翅喇叭声鹤
Psophia viridis,Dark-winged Trumpeter,Agami vert,Trompetero Aliverde Occidental,Groenvleugeltrompetvogel,grønnvingetrompetfugl,Dark-winged Trumpeter,Dark-winged Trumpeter,Grünflügel-Trompetervogel,Dark-winged Trumpeter,アオバネラッパチョウ,Dark-winged Trumpeter,gruchacz zielonoskrzydły,Jacamim-de-dorso-verde,Jacamim-De-Costas-Escuras/De-Costas-Verdes/De-Costas-Marrons/Do-Xingu,Зеленокрылый трубач,Mörkvingad trumpetare,Dark-winged Trumpeter,Kara Kanatlı Borazankuşu,Агамі зеленокрилий,绿翅喇叭声鹤
Psophocichla litsitsirupa,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,Groundscraper Thrush,非洲地鸫
Psophodes cristatus,Chirruping Wedgebill,Psophode babillard,Zordala Picocuña Oriental,Struikzwiepfluiter,østmulgatrost,Chirruping Wedgebill,Chirruping Wedgebill,Buschflöter,Chirruping Wedgebill,カンムリハシリチメドリ,Chirruping Wedgebill,trzaskacz czubaty,Chirruping wedgebill,Chirruping Wedgebill,Хохлатая птица-бич,Eyrekilnäbb,Chirruping Wedgebill,Düetçi Boz Kamçıkuşu,Батіжник світлочубий,东啸冠鸫
Psophodes nigrogularis,Western Whipbird,Psophode à menton noir,Zordala Crestada Occidental,Grijskopzwiepfluiter,knirketrost,Western Whipbird,Western Whipbird,Schwarzkehlflöter,Western Whipbird,シラヒゲドリ,Western Whipbird,trzaskacz wąsaty,Western whipbird,Western Whipbird,Черногорлая птица-бич,Gråtofsad snärtfågel,Western Whipbird,Kara Boğazlı Kamçıkuşu,Батіжник вусатий,黑喉啸冠鸫
Psophodes occidentalis,Chiming Wedgebill,Psophode carillonneur,Zordala Picocuña Occidental,Klokzwiepfluiter,vestmulgatrost,Chiming Wedgebill,Chiming Wedgebill,Glockenflöter,Chiming Wedgebill,ニシカンムリハシリチメドリ,Chiming Wedgebill,trzaskacz kurantowy,Chiming wedgebill,Chiming Wedgebill,Звонкая птица-бич,Västlig kilnäbb,Chiming Wedgebill,Boz Kamçıkuşu,Батіжник західний,西啸冠鸫
Psophodes olivaceus,Eastern Whipbird,Psophode à tête noire,Zordala Crestada Oriental,Zwartkopzwiepfluiter,pisketrost,Eastern Whipbird,Eastern Whipbird,Schwarzschopfflöter,Eastern Whipbird,ムナグロシラヒゲドリ,Eastern Whipbird,trzaskacz czarnoczuby,Eastern whipbird,Eastern Whipbird,Белогорлая птица-бич,Svarttofsad snärtfågel,Eastern Whipbird,Kara Göğüslü Kamçıkuşu,Батіжник чорночубий,绿啸冠鸫
Pteridophora alberti,King-of-Saxony Bird-of-Paradise,Paradisier du Prince Albert,Ave del Paraíso de Alberto,Wimpeldrager,vimpelparadisfugl,King-of-Saxony Bird-of-Paradise,King-of-Saxony Bird-of-Paradise,Wimpelträger-Paradiesvogel,King-of-Saxony Bird-of-Paradise,フキナガシフウチョウ,King-of-Saxony Bird-of-Paradise,wstęgogłów,King-of-saxony bird-of-paradise,King-Of-Saxony Bird-Of-Paradise,Вымпелопёр,Flaggbärare,King-of-Saxony Bird-of-Paradise,Mavi Tuğlı Cennetkuşu,Дивоптах строкатий,萨克森极乐鸟
Pternistis adspersus,Red-billed Spurfowl,Francolin à bec rouge,Francolín Piquirrojo,Roodsnavelfrankolijn,brillefrankolin,Red-billed Francolin,Red-billed Francolin,Rotschnabelfrankolin,Red-billed Francolin,サザナミシャコ,Red-billed Spurfowl,szponiastonóg krasnodzioby,Red-billed spurfowl,Red-Billed Spurfowl,Красноклювый франколин,Rödnäbbad frankolin,Red-billed Francolin,Al Gagalı Turaç,Турач червонодзьобий,红嘴鹧鸪
Pternistis afer,Red-necked Spurfowl,Francolin à gorge rouge,Francolín Gorjirrojo,Roodkeelfrankolijn,rødstrupefrankolin,Red-necked Francolin,Red-necked Francolin,Rotkehlfrankolin,Red-necked Francolin,アカノドシャコ,Red-necked Spurfowl,szponiastonóg czerwonogardły,Red-necked spurfowl,Red-Necked Spurfowl,Красногорлый франколин,Rödstrupig frankolin,Red-necked Francolin,Al Boğazlı Turaç,Турач рудогорлий,红喉鹧鸪
Pternistis ahantensis,Ahanta Spurfowl,Francolin d'Ahanta,Francolín de Ahanta,Ahantafrankolijn,ashantifrankolin,Ahanta Francolin,Ahanta Francolin,Ahantafrankolin,Ahanta Francolin,チャミミシャコ,Ahanta Spurfowl,szponiastonóg brązowouchy,Perdiz-do-gunal,Perdiz-Do-Gunal,Гамбийский франколин,Ahantafrankolin,Ahanta Francolin,Ahanta Turacı,Турач гамбійський,褐顶鹧鸪
Pternistis bicalcaratus,Double-spurred Spurfowl,Francolin à double éperon,Francolín Biespolado,Barbarijse Frankolijn,hvitbrynfrankolin,Double-spurred Francolin,Stribet Frankolin,Doppelspornfrankolin,Double-spurred Francolin,フタツケズメシャコ,Double-spurred Spurfowl,szponiastonóg zbrojny,Choca,Choca,Двухшпорный франколин,Marockansk frankolin,Double-spurred Francolin,Çift Mahmuzlu Turaç,Турач двошпоровий,双距鹧鸪
Pternistis capensis,Cape Spurfowl,Francolin criard,Francolín de El Cabo,Kaapse Frankolijn,kappfrankolin,Cape Francolin,Cape Francolin,Kapfrankolin,Cape Francolin,ケープキジシャコ,Cape Spurfowl,szponiastonóg przylądkowy,Cape spurfowl,Cape Spurfowl,Капский франколин,Kapfrankolin,Cape Francolin,Kap Turacı,Турач капський,南非鹧鸪
Pternistis erckelii,Erckel's Spurfowl,Francolin d'Erckel,Francolín de Erckel,Erckels Frankolijn,storfrankolin,Erckel's Francolin,Rødehavs-bjergfrankolin,Erckelfrankolin,Francolino di Erckel,クロガオシャコ,Erckel's Spurfowl,szponiastonóg brązowogłowy,Francolim-de-sobrancelhas-pretas,Francolim-De-Sobrancelhas-Pretas,Суданский франколин,Erckelfrankolin,Erckel's Francolin,Erckel Turacı,Турач суданський,棕顶鹧鸪
